Date of Death,Confirmed Deaths,Confirmed Total,Probable Deaths,Probable Total
3/10/2020,0,0,0,0
3/11/2020,0,0,0,0
3/12/2020,0,0,0,0
3/13/2020,0,0,0,0
3/14/2020,0,0,0,0
3/15/2020,0,0,0,0
3/16/2020,0,0,0,0
3/17/2020,0,0,0,0
3/18/2020,2,2,0,0
3/19/2020,1,3,0,0
3/20/2020,2,5,0,0
3/21/2020,2,7,0,0
3/22/2020,4,11,0,0
3/23/2020,6,17,0,0
3/24/2020,9,26,0,0
3/25/2020,7,33,0,0
3/26/2020,9,42,1,1
3/27/2020,15,57,0,1
3/28/2020,15,72,0,1
3/29/2020,25,97,1,2
3/30/2020,28,125,0,2
3/31/2020,28,153,0,2
4/1/2020,36,189,0,2
4/2/2020,41,230,2,4
4/3/2020,38,268,1,5
4/4/2020,38,306,1,6
4/5/2020,68,374,0,6
4/6/2020,79,453,1,7
4/7/2020,71,524,0,7
4/8/2020,100,624,3,10
4/9/2020,113,737,3,13
4/10/2020,107,844,2,15
4/11/2020,120,964,4,19
4/12/2020,114,1078,5,24
4/13/2020,162,1240,7,31
4/14/2020,122,1362,9,40
4/15/2020,178,1540,6,46
4/16/2020,174,1714,4,50
4/17/2020,167,1881,8,58
4/18/2020,171,2052,5,63
4/19/2020,178,2230,4,67
4/20/2020,173,2403,10,77
4/21/2020,160,2563,2,79
4/22/2020,152,2715,1,80
4/23/2020,190,2905,5,85
4/24/2020,197,3102,6,91
4/25/2020,151,3253,2,93
4/26/2020,151,3404,4,97
4/27/2020,158,3562,5,102
4/28/2020,141,3703,5,107
4/29/2020,164,3867,6,113
4/30/2020,143,4010,2,115
5/1/2020,176,4186,3,118
5/2/2020,144,4330,3,121
5/3/2020,137,4467,3,124
5/4/2020,135,4602,4,128
5/5/2020,137,4739,5,133
5/6/2020,138,4877,6,139
5/7/2020,130,5007,2,141
5/8/2020,110,5117,6,147
5/9/2020,105,5222,9,156
5/10/2020,126,5348,1,157
5/11/2020,127,5475,3,160
5/12/2020,113,5588,4,164
5/13/2020,114,5702,1,165
5/14/2020,100,5802,4,169
5/15/2020,119,5921,4,173
5/16/2020,85,6006,7,180
5/17/2020,83,6089,0,180
5/18/2020,96,6185,1,181
5/19/2020,74,6259,2,183
5/20/2020,84,6343,0,183
5/21/2020,67,6410,3,186
5/22/2020,82,6492,2,188
5/23/2020,71,6563,1,189
5/24/2020,60,6623,2,191
5/25/2020,65,6688,2,193
5/26/2020,73,6761,0,193
5/27/2020,64,6825,1,194
5/28/2020,52,6877,0,194
5/29/2020,57,6934,2,196
5/30/2020,56,6990,1,197
5/31/2020,55,7045,0,197
6/1/2020,34,7079,0,197
6/2/2020,51,7130,1,198
6/3/2020,41,7171,0,198
6/4/2020,44,7215,0,198
6/5/2020,26,7241,0,198
6/6/2020,44,7285,0,198
6/7/2020,37,7322,1,199
6/8/2020,38,7360,0,199
6/9/2020,33,7393,0,199
6/10/2020,35,7428,0,199
6/11/2020,33,7461,0,199
6/12/2020,39,7500,0,199
6/13/2020,26,7526,1,200
6/14/2020,31,7557,0,200
6/15/2020,35,7592,1,201
6/16/2020,16,7608,0,201
6/17/2020,28,7636,0,201
6/18/2020,23,7659,0,201
6/19/2020,33,7692,0,201
6/20/2020,16,7708,0,201
6/21/2020,31,7739,0,201
6/22/2020,21,7760,0,201
6/23/2020,29,7789,0,201
6/24/2020,25,7814,0,201
6/25/2020,18,7832,0,201
6/26/2020,21,7853,0,201
6/27/2020,22,7875,0,201
6/28/2020,20,7895,0,201
6/29/2020,16,7911,0,201
6/30/2020,15,7926,0,201
7/1/2020,23,7949,0,201
7/2/2020,20,7969,0,201
7/3/2020,17,7986,0,201
7/4/2020,18,8004,1,202
7/5/2020,18,8022,0,202
7/6/2020,24,8046,0,202
7/7/2020,19,8065,1,203
7/8/2020,28,8093,0,203
7/9/2020,17,8110,0,203
7/10/2020,10,8120,0,203
7/11/2020,11,8131,0,203
7/12/2020,15,8146,1,204
7/13/2020,16,8162,1,205
7/14/2020,18,8180,0,205
7/15/2020,12,8192,0,205
7/16/2020,11,8203,0,205
7/17/2020,16,8219,0,205
7/18/2020,13,8232,0,205
7/19/2020,14,8246,0,205
7/20/2020,9,8255,0,205
7/21/2020,17,8272,0,205
7/22/2020,15,8287,0,205
7/23/2020,14,8301,0,205
7/24/2020,23,8324,0,205
7/25/2020,14,8338,0,205
7/26/2020,14,8352,0,205
7/27/2020,16,8368,1,206
7/28/2020,13,8381,0,206
7/29/2020,14,8395,0,206
7/30/2020,10,8405,0,206
7/31/2020,15,8420,0,206
8/1/2020,19,8439,0,206
8/2/2020,10,8449,0,206
8/3/2020,8,8457,0,206
8/4/2020,14,8471,0,206
8/5/2020,14,8485,0,206
8/6/2020,15,8500,0,206
8/7/2020,15,8515,0,206
8/8/2020,13,8528,0,206
8/9/2020,9,8537,0,206
8/10/2020,14,8551,0,206
8/11/2020,14,8565,0,206
8/12/2020,20,8585,0,206
8/13/2020,12,8597,0,206
8/14/2020,14,8611,0,206
8/15/2020,13,8624,0,206
8/16/2020,13,8637,0,206
8/17/2020,15,8652,0,206
8/18/2020,12,8664,0,206
8/19/2020,16,8680,0,206
8/20/2020,16,8696,0,206
8/21/2020,16,8712,0,206
8/22/2020,16,8728,0,206
8/23/2020,15,8743,0,206
8/24/2020,15,8758,1,207
8/25/2020,17,8775,0,207
8/26/2020,14,8789,0,207
8/27/2020,11,8800,0,207
8/28/2020,15,8815,0,207
8/29/2020,17,8832,0,207
8/30/2020,16,8848,0,207
8/31/2020,12,8860,0,207
9/1/2020,16,8876,0,207
9/2/2020,17,8893,0,207
9/3/2020,11,8904,0,207
9/4/2020,9,8913,1,208
9/5/2020,12,8925,0,208
9/6/2020,8,8933,0,208
9/7/2020,8,8941,1,209
9/8/2020,14,8955,0,209
9/9/2020,12,8967,0,209
9/10/2020,20,8987,1,210
9/11/2020,12,8999,0,210
9/12/2020,8,9007,0,210
9/13/2020,11,9018,0,210
9/14/2020,16,9034,1,211
9/15/2020,14,9048,0,211
9/16/2020,21,9069,0,211
9/17/2020,14,9083,0,211
9/18/2020,12,9095,0,211
9/19/2020,11,9106,2,213
9/20/2020,15,9121,0,213
9/21/2020,17,9138,0,213
9/22/2020,5,9143,0,213
9/23/2020,13,9156,0,213
9/24/2020,13,9169,0,213
9/25/2020,17,9186,0,213
9/26/2020,21,9207,0,213
9/27/2020,14,9221,0,213
9/28/2020,19,9240,1,214
9/29/2020,13,9253,1,215
9/30/2020,17,9270,0,215
10/1/2020,14,9284,0,215
10/2/2020,15,9299,0,215
10/3/2020,13,9312,0,215
10/4/2020,15,9327,0,215
10/5/2020,10,9337,0,215
10/6/2020,6,9343,0,215
10/7/2020,16,9359,0,215
10/8/2020,14,9373,0,215
10/9/2020,14,9387,1,216
10/10/2020,16,9403,1,217
10/11/2020,17,9420,2,219
10/12/2020,25,9445,1,220
10/13/2020,15,9460,0,220
10/14/2020,23,9483,0,220
10/15/2020,17,9500,0,220
10/16/2020,19,9519,0,220
10/17/2020,19,9538,1,221
10/18/2020,6,9544,0,221
10/19/2020,22,9566,0,221
10/20/2020,22,9588,0,221
10/21/2020,15,9603,2,223
10/22/2020,16,9619,0,223
10/23/2020,21,9640,1,224
10/24/2020,26,9666,0,224
10/25/2020,16,9682,0,224
10/26/2020,21,9703,0,224
10/27/2020,12,9715,0,224
